Nome,Tipo,Descrizione
Trattore,Veicolo,Macchina versatile per la lavorazione del terreno e il trasporto
Aratro,Attrezzatura,Utilizzato per la lavorazione del terreno preparando il letto di semina
Fresa,Attrezzatura,Per la lavorazione e la preparazione del terreno per la semina
Semina,Attrezzatura,Macchina per seminare i semi in modo uniforme
Rasaerba,Attrezzatura,Utilizzato per il taglio e la manutenzione delle aree erbose
Raccoglitore di frutta,Attrezzatura,Per la raccolta automatizzata della frutta dagli alberi
Spandiconcime,Attrezzatura,Per la distribuzione di fertilizzanti sul terreno
Irrigatore,Attrezzatura,Per l’irrigazione delle colture e dei campi
Trinciatrice,Attrezzatura,Per la trinciatura di foraggi e colture per l’alimentazione del bestiame
Pressa,Attrezzatura,Per la compattazione di fieno o paglia in balle
Rimorchio,Veicolo,Per il trasporto di attrezzi prodotti e materiali
Pianale,Attrezzatura,Per la raccolta e la lavorazione di colture come patate e cipolle
Sarchiatore,Attrezzatura,Per la rimozione delle erbacce e la lavorazione del terreno tra le colture
Dissodatore,Attrezzatura,Per la lavorazione profonda del terreno e miglioramento della struttura del suolo
