Date,Temperature,Humidity,Precipitation,WindSpeed,SolarRadiation,SoilMoisture,WeatherDescription
2019-09-19,19.7,62.62,1.53,1.71,536.56,18.56,Sereno
2019-09-20,17.45,76.54,0.01,6.21,217.55,11.75,Sereno
2019-09-21,17.29,86.21,0.11,9.97,584.31,8.08,Ventoso
2019-09-22,18.59,78.04,0.91,6.91,226.68,17.26,Sereno
2019-09-23,13.22,66.74,0.25,6.53,543.88,17.94,Sereno
2019-09-24,18.71,84.24,1.99,4.85,275.67,9.8,Sereno
2019-09-25,17.83,61.82,1.23,4.51,797.57,18.46,Sereno
2019-09-26,16.28,63.87,0.07,7.67,294.75,14.94,Sereno
2019-09-27,10.25,87.04,1.23,3.25,676.54,5.34,Sereno
2019-09-28,15.67,57.27,0.27,9.06,673.32,6.67,Ventoso
2019-09-29,11.56,80.28,0.09,0.75,635.33,8.84,Sereno
2019-09-30,12.91,79.68,1.89,7.97,523.87,11.93,Sereno
2019-10-01,17.56,58.9,2.52,8.35,279.02,15.67,Ventoso
2019-10-02,19.95,59.79,4.01,5.68,236.65,31.04,Possibile pioggia
2019-10-03,15.56,56.26,4.4,7.79,175.31,44.91,Possibile pioggia
2019-10-04,13.07,88.5,3.64,3.21,258.43,45.82,Possibile pioggia
2019-10-05,17.57,51.58,6.79,9.69,70.54,18.24,Ventoso
2019-10-06,19.69,81.86,3.64,7.21,236.9,18.71,Possibile pioggia
2019-10-07,14.71,54.89,5.32,8.21,134.4,23.05,Ventoso
2019-10-08,18.51,84.62,7.26,9.22,236.77,26.13,Ventoso
2019-10-09,10.56,54.89,5.23,0.55,129.06,15.43,Possibile pioggia
2019-10-10,16.02,56.11,8.35,6.32,244.94,23.99,Forte pioggia
2019-10-11,11.25,54.85,8.57,4.71,129.26,49.59,Forte pioggia
2019-10-12,11.37,78.21,6.78,7.21,52.07,21.55,Possibile pioggia
2019-10-13,19.21,72.43,8.89,5.97,262.78,19.84,Forte pioggia
2019-10-14,11.15,54.7,0.44,5.29,149.53,23.02,Sereno
2019-10-15,12.08,76.65,7.74,5.98,68.74,41.85,Possibile pioggia
2019-10-16,16.89,78.7,1.55,3.7,198.72,15.02,Sereno
2019-10-17,17.44,59.9,7.71,8.63,141.03,43.02,Ventoso
2019-10-18,19.9,89.02,0.86,4.2,116.6,33.51,Sereno
2019-10-19,18.16,77.62,3.4,8.62,256.08,11.38,Ventoso
2019-10-20,16.65,59.33,7.47,0.94,112.99,26.26,Possibile pioggia
2019-10-21,18.62,76.07,0.45,5.98,163.69,26.6,Sereno
2019-10-22,17.96,70.99,2.09,9.34,168.26,44.76,Ventoso
2019-10-23,11.66,83.44,6.18,4.81,205.2,23.67,Possibile pioggia
2019-10-24,12.94,56.58,3.45,7.87,216.5,23.68,Possibile pioggia
2019-10-25,15.18,65.51,9.55,2.22,252.02,42.05,Forte pioggia
2019-10-26,16.41,60.81,5.26,5.45,204.4,40.34,Possibile pioggia
2019-10-27,17.75,84.65,5.7,9.23,79.66,11.01,Ventoso
2019-10-28,13.61,63.5,7.1,0.87,188.47,37.25,Possibile pioggia
2019-10-29,19.11,77.26,0.03,7.66,278.03,11.53,Sereno
2019-10-30,19.97,79.93,0.81,7.83,172.87,37.66,Sereno
2019-10-31,10.77,51.44,4.45,2.1,205.4,35.51,Possibile pioggia
2019-11-01,16.29,87.14,0.32,1.2,131.69,38.27,Sereno
2019-11-02,12.35,54.9,5.53,7.82,153.28,41.24,Possibile pioggia
2019-11-03,17.82,85.29,5.3,9.63,282.46,15.83,Ventoso
2019-11-04,19.31,53.48,1.18,1.37,151.39,45.19,Sereno
2019-11-05,13.39,73.96,5.42,2.57,143.5,36.91,Possibile pioggia
2019-11-06,17.73,83.71,0.69,7.08,131.28,17.94,Sereno
2019-11-07,13.95,58.19,7.41,5.68,225.66,20.26,Possibile pioggia
2019-11-08,12.52,56.94,6.4,6.66,172.22,10.15,Possibile pioggia
2019-11-09,16.32,76.1,2.72,1.37,234.51,28.53,Sereno
2019-11-10,18.94,71.28,8.79,1.33,273.28,17.1,Forte pioggia
2019-11-11,18.8,50.86,4.65,6.52,69.21,27.78,Possibile pioggia
2019-11-12,12.95,53.77,2.17,2.26,215.54,34.17,Sereno
2019-11-13,14.54,60.06,3.77,8.1,228.16,33.2,Ventoso
2019-11-14,17.44,50.7,9.0,5.58,258.81,40.8,Forte pioggia
2019-11-15,17.94,82.86,5.38,3.98,228.0,49.75,Possibile pioggia
2019-11-16,10.85,82.68,2.52,1.71,233.44,38.57,Sereno
2019-11-17,11.3,88.27,2.64,2.17,201.4,11.41,Sereno
2019-11-18,17.13,60.8,1.27,9.29,215.07,46.86,Ventoso
2019-11-19,19.97,65.72,2.88,5.91,86.77,46.48,Sereno
2019-11-20,19.14,55.01,3.2,9.54,137.1,32.99,Ventoso
2019-11-21,12.97,73.66,3.66,1.56,74.15,19.61,Possibile pioggia
2019-11-22,16.03,63.64,8.14,1.5,262.88,16.23,Forte pioggia
2019-11-23,16.44,73.61,9.25,8.3,211.81,12.7,Forte pioggia
2019-11-24,10.47,77.98,0.48,7.75,199.19,44.66,Sereno
2019-11-25,18.41,71.65,2.86,1.47,215.09,22.02,Sereno
2019-11-26,12.53,88.79,2.64,4.78,293.18,19.47,Sereno
2019-11-27,18.58,52.41,7.55,3.18,243.05,19.58,Possibile pioggia
2019-11-28,11.82,87.46,2.34,9.72,89.58,24.75,Ventoso
2019-11-29,17.31,65.13,1.77,1.36,168.47,16.48,Sereno
2019-11-30,10.19,58.3,1.49,6.55,255.72,26.03,Sereno
2019-12-01,13.13,67.81,1.13,1.3,188.61,29.61,Sereno
2019-12-02,12.41,87.1,7.6,6.41,58.89,11.86,Possibile pioggia
2019-12-03,12.61,68.62,5.76,3.45,275.23,15.8,Possibile pioggia
2019-12-04,8.21,55.45,3.32,2.92,173.43,41.87,Possibile pioggia
2019-12-05,11.19,72.35,7.12,3.71,234.42,42.71,Possibile pioggia
2019-12-06,7.67,86.64,6.17,6.94,138.53,28.06,Possibile pioggia
2019-12-07,7.48,63.68,7.24,9.33,127.14,48.32,Ventoso
2019-12-08,11.09,58.74,1.14,6.58,65.35,34.01,Sereno
2019-12-09,5.35,73.12,2.97,8.48,166.92,38.21,Ventoso
2019-12-10,11.99,50.96,0.3,5.54,230.43,41.05,Sereno
2019-12-11,14.33,77.69,3.13,6.61,156.98,20.0,Possibile pioggia
2019-12-12,11.6,61.38,7.9,8.33,107.97,20.31,Ventoso
2019-12-13,13.28,70.29,0.03,4.9,280.16,43.71,Sereno
2019-12-14,13.19,51.28,0.68,7.91,175.07,42.15,Sereno
2019-12-15,11.2,75.13,5.26,4.22,136.41,18.09,Possibile pioggia
2019-12-16,13.64,86.62,8.7,2.25,276.49,14.35,Forte pioggia
2019-12-17,5.26,58.32,3.09,1.68,193.15,15.76,Possibile pioggia
2019-12-18,14.11,86.91,2.75,3.5,178.17,47.49,Sereno
2019-12-19,10.37,57.51,3.78,0.69,256.82,16.97,Possibile pioggia
2019-12-20,5.35,53.43,1.79,0.66,217.88,16.38,Sereno
2019-12-21,5.1,67.38,0.59,8.91,230.39,37.86,Ventoso
2019-12-22,7.97,74.97,1.12,6.23,129.65,42.73,Sereno
2019-12-23,11.22,89.98,4.14,7.42,245.28,23.25,Possibile pioggia
2019-12-24,14.97,50.94,2.19,4.31,80.18,28.45,Sereno
2019-12-25,5.24,88.25,2.14,2.87,168.36,11.81,Sereno
2019-12-26,9.27,67.47,8.7,1.33,93.1,38.42,Forte pioggia
2019-12-27,13.79,62.28,1.45,6.15,163.26,49.48,Sereno
2019-12-28,9.9,57.68,8.54,9.94,101.55,30.16,Forte pioggia
2019-12-29,7.68,70.83,4.19,9.35,104.99,43.62,Ventoso
2019-12-30,8.12,60.33,0.23,2.98,289.13,19.33,Sereno
