SottoTitolo2,StottoTitolo3
Periodo riferimento: 2024,Regione: TOSCANA - Piazza: GROSSETO

Macro_Categoria,Mese,SettimanaPerMese,Categoria,Gruppo,Prodotto,Textbox111,PrezzoMedioPerUdM3,Textbox292,Varieta,Textbox112,PrezzoMedioPerUdM8,Textbox293,Varieta1,Textbox113,PrezzoMedioPerUdM4,Textbox294,Varieta2,Textbox114,PrezzoMedioPerUdM5,Textbox295,Varieta3,Textbox115,PrezzoMedioPerUdM6,Textbox296
COLTIVAZIONI,gen,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"327,27","293,23",Buono Mercantile,€/t,"332,37","297,20",,,,,,,,,,,,
COLTIVAZIONI,gen,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"321,77","293,23",Buono Mercantile,€/t,"326,12","297,20",,,,,,,,,,,,
COLTIVAZIONI,gen,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"324,27","293,23",Buono Mercantile,€/t,"328,62","297,20",,,,,,,,,,,,
COLTIVAZIONI,gen,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"324,27","293,23",Buono Mercantile,€/t,"328,62","297,20",,,,,,,,,,,,
COLTIVAZIONI,feb,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"316,75","293,23",Buono Mercantile,€/t,"321,25","297,20",,,,,,,,,,,,
COLTIVAZIONI,feb,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"312,35","293,23",Buono Mercantile,€/t,"318,25","297,20",,,,,,,,,,,,
COLTIVAZIONI,feb,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"306,05","293,23",Buono Mercantile,€/t,"314,25","297,20",,,,,,,,,,,,
COLTIVAZIONI,feb,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"304,75","293,23",Buono Mercantile,€/t,"311,75","297,20",,,,,,,,,,,,
COLTIVAZIONI,feb,V,Cereali E Derivati,Frumento,Frumento Duro,€/t,"297,75","293,23",Buono Mercantile,€/t,"304,25","297,20",,,,,,,,,,,,
COLTIVAZIONI,mar,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"272,55","293,23",Buono Mercantile,€/t,"282,28","297,20",,,,,,,,,,,,
COLTIVAZIONI,mar,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"268,52","293,23",Buono Mercantile,€/t,"273,64","297,20",,,,,,,,,,,,
COLTIVAZIONI,mar,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"268,52","293,23",Buono Mercantile,€/t,"273,64","297,20",,,,,,,,,,,,
COLTIVAZIONI,mar,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"270,52","293,23",Buono Mercantile,€/t,"275,89","297,20",,,,,,,,,,,,
COLTIVAZIONI,apr,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"274,55","293,23",Buono Mercantile,€/t,"276,98","297,20",,,,,,,,,,,,
COLTIVAZIONI,apr,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"276,45","293,23",Buono Mercantile,€/t,"278,23","297,20",,,,,,,,,,,,
COLTIVAZIONI,apr,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"279,35","293,23",Buono Mercantile,€/t,"280,23","297,20",,,,,,,,,,,,
COLTIVAZIONI,apr,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"284,55","293,23",Buono Mercantile,€/t,"285,23","297,20",,,,,,,,,,,,
COLTIVAZIONI,mag,I,Cereali E Derivati,Frumento,Frumento Duro,€/t,"288,76","293,23",Buono Mercantile,€/t,"290,94","297,20",,,,,,,,,,,,
COLTIVAZIONI,mag,II,Cereali E Derivati,Frumento,Frumento Duro,€/t,"293,06","293,23",Buono Mercantile,€/t,"294,69","297,20",,,,,,,,,,,,
COLTIVAZIONI,mag,III,Cereali E Derivati,Frumento,Frumento Duro,€/t,"293,06","293,23",Buono Mercantile,€/t,"294,69","297,20",,,,,,,,,,,,
COLTIVAZIONI,mag,IV,Cereali E Derivati,Frumento,Frumento Duro,€/t,"293,06","293,23",Buono Mercantile,€/t,"294,69","297,20",,,,,,,,,,,,
