DATAFLOW,FREQ,REF_AREA,DATA_TYPE,PURCHASE_PRODUCTS,SOLD_PRODUCTS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_PURCHASE_PRODUCTS,NOTE_SOLD_PRODUCTS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2016,98.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2017,106.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2018,102.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2019,103.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2020,99.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2021,106.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2022,130.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMA,2023,138.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2016,92.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2017,103.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2018,104.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2019,109,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2020,107.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2021,107.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2022,137.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMAODUCT,2023,149.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2016,95.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2017,105.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2018,103.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2019,105.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2020,103.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2021,106.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2022,133.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,ANIMATPUT,2023,143.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2016,98.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2017,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2018,101.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2019,100.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2020,97.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2021,101.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2022,122.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CATTL,2023,130.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2016,91.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2017,90.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2018,94.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2019,96.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2020,101.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2021,134.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2022,189.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CEREA,2023,147.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2016,97.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2017,105,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2018,107.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2019,108.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2020,111.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2021,124.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2022,147.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUT,2023,147.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2016,96.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2017,101.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2018,106.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2019,104,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2020,104.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2021,125.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2022,161.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,CROPUTE,2023,149.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FORAGANTS,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FORAGANTS,2016,101.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_4(1.0),A,IT,68,ALL,FORAGANTS,2017,112.1,,,,,,,,,,
