DATAFLOW,FREQ,REF_AREA,DATA_TYPE,PURCHASE_PRODUCTS,SOLD_PRODUCTS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_PURCHASE_PRODUCTS,NOTE_SOLD_PRODUCTS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMA,2022-12,140.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMA,2023-01,132.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMA,2023-02,132.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMA,2023-03,136.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMA,2023-04,139.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMA,2023-05,138.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMA,2023-06,137.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMA,2023-07,136.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMA,2023-08,138.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMA,2023-09,140.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMA,2023-10,140.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMA,2023-11,141.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMA,2023-12,140.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMAODUCT,2022-12,156.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMAODUCT,2023-01,156.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMAODUCT,2023-02,155.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMAODUCT,2023-03,155.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMAODUCT,2023-04,152,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMAODUCT,2023-05,148.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMAODUCT,2023-06,147.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMAODUCT,2023-07,146.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMAODUCT,2023-08,145.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMAODUCT,2023-09,146.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMAODUCT,2023-10,145.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMAODUCT,2023-11,146.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMAODUCT,2023-12,145.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_2(1.0),M,IT,66,ALL,ANIMATPUT,2022-12,147.6,,,,,,,,,,
