DATAFLOW,FREQ,REF_AREA,DATA_TYPE,PURCHASE_PRODUCTS,SOLD_PRODUCTS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_PURCHASE_PRODUCTS,NOTE_SOLD_PRODUCTS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ANIMAEDING,ALL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ANIMAEDING,ALL,2016,99.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ANIMAEDING,ALL,2017,100.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ANIMAEDING,ALL,2018,104.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ANIMAEDING,ALL,2019,104,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ANIMAEDING,ALL,2020,105.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ANIMAEDING,ALL,2021,121.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ANIMAEDING,ALL,2022,151.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ANIMAEDING,ALL,2023,142.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,BUILD,ALL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,BUILD,ALL,2016,100.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,BUILD,ALL,2017,100.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,BUILD,ALL,2018,101.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,BUILD,ALL,2019,102.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,BUILD,ALL,2020,102.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,BUILD,ALL,2021,104.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,BUILD,ALL,2022,112.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,BUILD,ALL,2023,116.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,CEREA,ALL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,CEREA,ALL,2016,98.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,CEREA,ALL,2017,92.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,CEREA,ALL,2018,94.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,CEREA,ALL,2019,96.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,CEREA,ALL,2020,98.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,CEREA,ALL,2021,103.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,CEREA,ALL,2022,121,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,CEREA,ALL,2023,130.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFEEDI,ALL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFEEDI,ALL,2016,98.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFEEDI,ALL,2017,98.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFEEDI,ALL,2018,100.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFEEDI,ALL,2019,101.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFEEDI,ALL,2020,102.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFEEDI,ALL,2021,118,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFEEDI,ALL,2022,140.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFEEDI,ALL,2023,135.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFERTI,ALL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFERTI,ALL,2016,94.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFERTI,ALL,2017,90.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFERTI,ALL,2018,91.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFERTI,ALL,2019,92.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFERTI,ALL,2020,89.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFERTI,ALL,2021,108.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFERTI,ALL,2022,178.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,COMPOFERTI,ALL,2023,159.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ENERGDLUB,ALL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ENERGDLUB,ALL,2016,94.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ENERGDLUB,ALL,2017,100.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ENERGDLUB,ALL,2018,109.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ENERGDLUB,ALL,2019,112.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ENERGDLUB,ALL,2020,101.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ENERGDLUB,ALL,2021,115.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ENERGDLUB,ALL,2022,180,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,ENERGDLUB,ALL,2023,167.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FARMDINGS,ALL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FARMDINGS,ALL,2016,100.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FARMDINGS,ALL,2017,100.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FARMDINGS,ALL,2018,101.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FARMDINGS,ALL,2019,102,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FARMDINGS,ALL,2020,102.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FARMDINGS,ALL,2021,104.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FARMDINGS,ALL,2022,112.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FARMDINGS,ALL,2023,116.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FERTIRSS,ALL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FERTIRSS,ALL,2016,94,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FERTIRSS,ALL,2017,92.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FERTIRSS,ALL,2018,93.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FERTIRSS,ALL,2019,94.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FERTIRSS,ALL,2020,92.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FERTIRSS,ALL,2021,112.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FERTIRSS,ALL,2022,183.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FERTIRSS,ALL,2023,149.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUELSHEAT,ALL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUELSHEAT,ALL,2016,96.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUELSHEAT,ALL,2017,103,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUELSHEAT,ALL,2018,106.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUELSHEAT,ALL,2019,103.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUELSHEAT,ALL,2020,96.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUELSHEAT,ALL,2021,107.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUELSHEAT,ALL,2022,146.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUELSHEAT,ALL,2023,160.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUNGIS,ALL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUNGIS,ALL,2016,102,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUNGIS,ALL,2017,103.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUNGIS,ALL,2018,105.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUNGIS,ALL,2019,107.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUNGIS,ALL,2020,106.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUNGIS,ALL,2021,108.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUNGIS,ALL,2022,123.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,FUNGIS,ALL,2023,133,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,GOODSSERV,ALL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,GOODSSERV,ALL,2016,99.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,GOODSSERV,ALL,2017,100.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,GOODSSERV,ALL,2018,104,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,GOODSSERV,ALL,2019,105.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,GOODSSERV,ALL,2020,105.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,GOODSSERV,ALL,2021,115.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,GOODSSERV,ALL,2022,143.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,GOODSSERV,ALL,2023,139.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,HERBIS,ALL,2015,100,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,HERBIS,ALL,2016,101.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,HERBIS,ALL,2017,101.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,HERBIS,ALL,2018,105.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,HERBIS,ALL,2019,109.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,HERBIS,ALL,2020,109.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,HERBIS,ALL,2021,111,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_3(1.0),A,IT,67,HERBIS,ALL,2022,125.5,,,,,,,,,,
