DATAFLOW,FREQ,REF_AREA,DATA_TYPE,PURCHASE_PRODUCTS,SOLD_PRODUCTS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_PURCHASE_PRODUCTS,NOTE_SOLD_PRODUCTS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,ANIMAEDING,ALL,2022-12,156.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,ANIMAEDING,ALL,2023-01,154.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,ANIMAEDING,ALL,2023-02,153.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,ANIMAEDING,ALL,2023-03,151.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,ANIMAEDING,ALL,2023-04,149.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,ANIMAEDING,ALL,2023-05,145.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,ANIMAEDING,ALL,2023-06,139.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,ANIMAEDING,ALL,2023-07,137.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,ANIMAEDING,ALL,2023-08,137.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,ANIMAEDING,ALL,2023-09,134.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,ANIMAEDING,ALL,2023-10,133.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,ANIMAEDING,ALL,2023-11,134.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,ANIMAEDING,ALL,2023-12,135.1,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,BUILD,ALL,2022-12,116.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,BUILD,ALL,2023-01,116.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,BUILD,ALL,2023-02,116.5,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,BUILD,ALL,2023-03,116.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,BUILD,ALL,2023-04,116.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,BUILD,ALL,2023-05,116.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,BUILD,ALL,2023-06,116,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,BUILD,ALL,2023-07,117.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,BUILD,ALL,2023-08,117.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,BUILD,ALL,2023-09,117.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,BUILD,ALL,2023-10,117.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,BUILD,ALL,2023-11,117.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,BUILD,ALL,2023-12,117.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,CEREA,ALL,2022-12,127.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,CEREA,ALL,2023-01,129.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,CEREA,ALL,2023-02,129.9,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,CEREA,ALL,2023-03,132.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,CEREA,ALL,2023-04,133.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,CEREA,ALL,2023-05,133.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,CEREA,ALL,2023-06,133.8,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,CEREA,ALL,2023-07,133,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,CEREA,ALL,2023-08,133.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,CEREA,ALL,2023-09,132,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,CEREA,ALL,2023-10,125.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,CEREA,ALL,2023-11,125.3,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,CEREA,ALL,2023-12,125.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,COMPOFEEDI,ALL,2022-12,144.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,COMPOFEEDI,ALL,2023-01,143.4,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,COMPOFEEDI,ALL,2023-02,143,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,COMPOFEEDI,ALL,2023-03,140.7,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,COMPOFEEDI,ALL,2023-04,139.2,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,COMPOFEEDI,ALL,2023-05,135.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,COMPOFEEDI,ALL,2023-06,133,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,COMPOFEEDI,ALL,2023-07,133.6,,,,,,,,,,
IT1:101_12_DF_DCSP_PREZZIAGR_1(1.0),M,IT,65,COMPOFEEDI,ALL,2023-08,133.2,,,,,,,,,,
