DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TURNOVER_CLASS,AWU_CLASS,LEGAL_FORM,MANAGEMENT_FORM,TYPE_OF_FARMING,PURPOSE_AGRIC_ACTIVITY,ECON_ACTIVITY_NACE_2007,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TURNOVER_CLASS,NOTE_AWU_CLASS,NOTE_LEGAL_FORM,NOTE_MANAGEMENT_FORM,NOTE_TYPE_OF_FARMING,NOTE_PURPOSE_AGRIC_ACTIVITY,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,INDCOSTS_TURN_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,10110,2017,89.6,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,INDCOSTS_TURN_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,10120,2017,82.3,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,INDCOSTS_TURN_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,1051,2017,87.4,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,INDGOPURINDCOSTS_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,10110,2017,86.3,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,INDGOPURINDCOSTS_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,10120,2017,89.4,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,INDGOPURINDCOSTS_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,1051,2017,85.8,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,LAB_COS_EMPL,TOTAL,TOT,TOT,TOT,ALL,TOT,10110,2017,137.4,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,LAB_COS_EMPL,TOTAL,TOT,TOT,TOT,ALL,TOT,10120,2017,123.9,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,LAB_COS_EMPL,TOTAL,TOT,TOT,TOT,ALL,TOT,1051,2017,154,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,LAB_COST_EMP,TOTAL,TOT,TOT,TOT,ALL,TOT,10110,2017,36820,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,LAB_COST_EMP,TOTAL,TOT,TOT,TOT,ALL,TOT,10120,2017,32561,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,LAB_COST_EMP,TOTAL,TOT,TOT,TOT,ALL,TOT,1051,2017,42092,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,LABCOSTS_VADDED_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,10110,2017,67.1,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,LABCOSTS_VADDED_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,10120,2017,79.5,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,LABCOSTS_VADDED_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,1051,2017,58.4,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,RETGROPERSUR_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,10110,2017,3.4,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,RETGROPERSUR_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,10120,2017,3.5,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,RETGROPERSUR_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,1051,2017,5.8,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,VADDE_EMPL,TOTAL,TOT,TOT,TOT,ALL,TOT,10110,2017,10.3,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,VADDE_EMPL,TOTAL,TOT,TOT,TOT,ALL,TOT,10120,2017,16.9,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,VADDE_EMPL,TOTAL,TOT,TOT,TOT,ALL,TOT,1051,2017,13.9,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,VADDED_TURN,TOTAL,TOT,TOT,TOT,ALL,TOT,10110,2017,50593,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,VADDED_TURN,TOTAL,TOT,TOT,TOT,ALL,TOT,10120,2017,40337,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_5(1.0),A,IT,VADDED_TURN,TOTAL,TOT,TOT,TOT,ALL,TOT,1051,2017,64830,,,,,,,,,,,,,,,
