DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TURNOVER_CLASS,AWU_CLASS,LEGAL_FORM,MANAGEMENT_FORM,TYPE_OF_FARMING,PURPOSE_AGRIC_ACTIVITY,ECON_ACTIVITY_NACE_2007,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TURNOVER_CLASS,NOTE_AWU_CLASS,NOTE_LEGAL_FORM,NOTE_MANAGEMENT_FORM,NOTE_TYPE_OF_FARMING,NOTE_PURPOSE_AGRIC_ACTIVITY,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2015,853686,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2016,777000,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2017,830000,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU_AVPFARM,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2015,0.6,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU_AVPFARM,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2016,0.5,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU_AVPFARM,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2017,0.6,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU_EMP,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2015,196921,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU_EMP,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2016,156000,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU_EMP,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2017,172000,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2015,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2016,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2017,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2015,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2016,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,AWU_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2017,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,FARMS_TURNMIN15,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2015,512217,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,FARMS_TURNMIN15,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2016,445000,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_1(1.0),A,IT,FARMS_TURNMIN15,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2017,436000,,,,,,,,,,,,,,,
