DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TURNOVER_CLASS,AWU_CLASS,LEGAL_FORM,MANAGEMENT_FORM,TYPE_OF_FARMING,PURPOSE_AGRIC_ACTIVITY,ECON_ACTIVITY_NACE_2007,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TURNOVER_CLASS,NOTE_AWU_CLASS,NOTE_LEGAL_FORM,NOTE_MANAGEMENT_FORM,NOTE_TYPE_OF_FARMING,NOTE_PURPOSE_AGRIC_ACTIVITY,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_EMP_PERC,TOTAL,N_UN1,TOT,TOT,ALL,TOT,0010,2015,12.4,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_EMP_PERC,TOTAL,N_UN1,TOT,TOT,ALL,TOT,0010,2016,14.2,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_EMP_PERC,TOTAL,N_UN1,TOT,TOT,ALL,TOT,0010,2017,13.9,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_EMP_PERC,TOTAL,N10_GE,TOT,TOT,ALL,TOT,0010,2015,9.1,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_EMP_PERC,TOTAL,N10_GE,TOT,TOT,ALL,TOT,0010,2016,10.9,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_EMP_PERC,TOTAL,N10_GE,TOT,TOT,ALL,TOT,0010,2017,12,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_EMP_PERC,TOTAL,N1-9,TOT,TOT,ALL,TOT,0010,2015,78.5,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_EMP_PERC,TOTAL,N1-9,TOT,TOT,ALL,TOT,0010,2016,74.9,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_EMP_PERC,TOTAL,N1-9,TOT,TOT,ALL,TOT,0010,2017,74.1,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2015,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2016,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2017,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_PERC,TOTAL,N_UN1,TOT,TOT,ALL,TOT,0010,2015,41.3,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_PERC,TOTAL,N_UN1,TOT,TOT,ALL,TOT,0010,2016,43.9,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_PERC,TOTAL,N_UN1,TOT,TOT,ALL,TOT,0010,2017,44.7,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_PERC,TOTAL,N10_GE,TOT,TOT,ALL,TOT,0010,2015,2.3,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_PERC,TOTAL,N10_GE,TOT,TOT,ALL,TOT,0010,2016,2.4,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_PERC,TOTAL,N10_GE,TOT,TOT,ALL,TOT,0010,2017,2.8,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_PERC,TOTAL,N1-9,TOT,TOT,ALL,TOT,0010,2015,56.4,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_PERC,TOTAL,N1-9,TOT,TOT,ALL,TOT,0010,2016,53.7,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_PERC,TOTAL,N1-9,TOT,TOT,ALL,TOT,0010,2017,52.6,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_2(1.0),A,IT,AWU_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2015,100,,,,,,,,,,,,,,,
