DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TURNOVER_CLASS,AWU_CLASS,LEGAL_FORM,MANAGEMENT_FORM,TYPE_OF_FARMING,PURPOSE_AGRIC_ACTIVITY,ECON_ACTIVITY_NACE_2007,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TURNOVER_CLASS,NOTE_AWU_CLASS,NOTE_LEGAL_FORM,NOTE_MANAGEMENT_FORM,NOTE_TYPE_OF_FARMING,NOTE_PURPOSE_AGRIC_ACTIVITY,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E_GE500000,TOT,TOT,TOT,ALL,TOT,0010,2015,18.5,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E_GE500000,TOT,TOT,TOT,ALL,TOT,0010,2016,16.9,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E_GE500000,TOT,TOT,TOT,ALL,TOT,0010,2017,17.5,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E_UN14999_99,TOT,TOT,TOT,ALL,TOT,0010,2015,6,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E_UN14999_99,TOT,TOT,TOT,ALL,TOT,0010,2016,9.2,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E_UN14999_99,TOT,TOT,TOT,ALL,TOT,0010,2017,7.2,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E100000-499999_99,TOT,TOT,TOT,ALL,TOT,0010,2015,38.9,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E100000-499999_99,TOT,TOT,TOT,ALL,TOT,0010,2016,39.2,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E100000-499999_99,TOT,TOT,TOT,ALL,TOT,0010,2017,36.9,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E15000-49999_99,TOT,TOT,TOT,ALL,TOT,0010,2015,18.8,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E15000-49999_99,TOT,TOT,TOT,ALL,TOT,0010,2016,18.6,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E15000-49999_99,TOT,TOT,TOT,ALL,TOT,0010,2017,21.4,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E50000-99999_99,TOT,TOT,TOT,ALL,TOT,0010,2015,17.8,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E50000-99999_99,TOT,TOT,TOT,ALL,TOT,0010,2016,16.2,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,E50000-99999_99,TOT,TOT,TOT,ALL,TOT,0010,2017,17,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2015,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2016,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2017,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E_GE500000,TOT,TOT,TOT,ALL,TOT,0010,2015,5.8,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E_GE500000,TOT,TOT,TOT,ALL,TOT,0010,2016,4.8,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E_GE500000,TOT,TOT,TOT,ALL,TOT,0010,2017,5,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E_UN14999_99,TOT,TOT,TOT,ALL,TOT,0010,2015,26.3,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E_UN14999_99,TOT,TOT,TOT,ALL,TOT,0010,2016,32.5,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E_UN14999_99,TOT,TOT,TOT,ALL,TOT,0010,2017,31.1,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E100000-499999_99,TOT,TOT,TOT,ALL,TOT,0010,2015,20.3,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E100000-499999_99,TOT,TOT,TOT,ALL,TOT,0010,2016,19.2,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E100000-499999_99,TOT,TOT,TOT,ALL,TOT,0010,2017,18.3,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E15000-49999_99,TOT,TOT,TOT,ALL,TOT,0010,2015,32,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E15000-49999_99,TOT,TOT,TOT,ALL,TOT,0010,2016,29.7,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E15000-49999_99,TOT,TOT,TOT,ALL,TOT,0010,2017,30.9,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E50000-99999_99,TOT,TOT,TOT,ALL,TOT,0010,2015,15.7,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E50000-99999_99,TOT,TOT,TOT,ALL,TOT,0010,2016,13.8,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,E50000-99999_99,TOT,TOT,TOT,ALL,TOT,0010,2017,14.7,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2015,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2016,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,AWU_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2017,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,GRSS_OP_SURPL_AVPFARM_EU,E_GE500000,TOT,TOT,TOT,ALL,TOT,0010,2015,542404,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,GRSS_OP_SURPL_AVPFARM_EU,E_GE500000,TOT,TOT,TOT,ALL,TOT,0010,2016,489731,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_3(1.0),A,IT,GRSS_OP_SURPL_AVPFARM_EU,E_GE500000,TOT,TOT,TOT,ALL,TOT,0010,2017,544859,,,,,,,,,,,,,,,
