DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TURNOVER_CLASS,AWU_CLASS,LEGAL_FORM,MANAGEMENT_FORM,TYPE_OF_FARMING,PURPOSE_AGRIC_ACTIVITY,ECON_ACTIVITY_NACE_2007,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TURNOVER_CLASS,NOTE_AWU_CLASS,NOTE_LEGAL_FORM,NOTE_MANAGEMENT_FORM,NOTE_TYPE_OF_FARMING,NOTE_PURPOSE_AGRIC_ACTIVITY,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:101_148_DF_DCSP_RICAREA_4(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,13,TOT,ALL,TOT,0010,2015,19.5,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_4(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,13,TOT,ALL,TOT,0010,2016,19.9,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_4(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,13,TOT,ALL,TOT,0010,2017,19.4,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_4(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2015,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_4(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2016,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_4(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,TOT,TOT,ALL,TOT,0010,2017,100,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_4(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,X11,TOT,ALL,TOT,0010,2015,80.5,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_4(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,X11,TOT,ALL,TOT,0010,2016,80.1,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_4(1.0),A,IT,AWU_EMP_PERC,TOTAL,TOT,X11,TOT,ALL,TOT,0010,2017,80.6,,,,,,,,,,,,,,,
IT1:101_148_DF_DCSP_RICAREA_4(1.0),A,IT,AWU_PERC,TOTAL,TOT,13,TOT,ALL,TOT,0010,2015,10.2,,,,,,,,,,,,,,,
