DATAFLOW,FREQ,REF_AREA,DATA_TYPE,LEGAL_FORM,MANAGEMENT_FORM,LAND_OWNERSHIP,AGRI_AREA_CLASS,TYPE_OF_CROP,TYPE_OF_HERD,GAINFUL_ACTIVITIES,KIND_OF_RENEW_ENERGY,EDU_LEV_FARM_MAN,LABOUR_FORCE_CATEG,NAT_LAB_FORCE,QWN_USE_MECH_MEANS,TYPE_OF_MECH_MEANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_LEGAL_FORM,NOTE_MANAGEMENT_FORM,NOTE_LAND_OWNERSHIP,NOTE_AGRI_AREA_CLASS,NOTE_TYPE_OF_CROP,NOTE_TYPE_OF_HERD,NOTE_GAINFUL_ACTIVITIES,NOTE_KIND_OF_RENEW_ENERGY,NOTE_EDU_LEV_FARM_MAN,NOTE_LABOUR_FORCE_CATEG,NOTE_NAT_LAB_FORCE,NOTE_QWN_USE_MECH_MEANS,NOTE_TYPE_OF_MECH_MEANS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:102_974_DF_DCSP_SPA_4(1.0),A,IT,FIABLE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,783647,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_4(1.0),A,IT,FIABLE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,572319,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_4(1.0),A,IT,FIATED,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,720335,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_4(1.0),A,IT,FIATED,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,490506,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_4(1.0),A,IT,IA,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,2917649,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_4(1.0),A,IT,IA,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,2553040,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_4(1.0),A,IT,IBA,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,4074750,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_4(1.0),A,IT,IBA,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,4123806,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_4(1.0),A,ITC1,FIABLE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,45554,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_4(1.0),A,ITC1,FIABLE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,35385,,,,,,,,,,,,,,,,,,,,,
