DATAFLOW,FREQ,REF_AREA,DATA_TYPE,LEGAL_FORM,MANAGEMENT_FORM,LAND_OWNERSHIP,AGRI_AREA_CLASS,TYPE_OF_CROP,TYPE_OF_HERD,GAINFUL_ACTIVITIES,KIND_OF_RENEW_ENERGY,EDU_LEV_FARM_MAN,LABOUR_FORCE_CATEG,NAT_LAB_FORCE,QWN_USE_MECH_MEANS,TYPE_OF_MECH_MEANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_LEGAL_FORM,NOTE_MANAGEMENT_FORM,NOTE_LAND_OWNERSHIP,NOTE_AGRI_AREA_CLASS,NOTE_TYPE_OF_CROP,NOTE_TYPE_OF_HERD,NOTE_GAINFUL_ACTIVITIES,NOTE_KIND_OF_RENEW_ENERGY,NOTE_EDU_LEV_FARM_MAN,NOTE_LABOUR_FORCE_CATEG,NOTE_NAT_LAB_FORCE,NOTE_QWN_USE_MECH_MEANS,NOTE_TYPE_OF_MECH_MEANS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,AA_UNUT,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,517788,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,AA_UNUT,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,453714,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,AA_UNUT_FARM,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,233680,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,ART,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,16678296,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,ART,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,16525472,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,ARU,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,12425996,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,ARU,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,12598161,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,FUAA,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1467076,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,FUAA,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,1143958,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,HO,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1471185,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,HO,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,1145705,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,OHT_AREA_WUN,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,706659,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,OHT_AREA_WUN,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,779316,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,OHT_FARM_WUN,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,842244,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,WOODLA_AREA,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,2936069,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,WOODLA_AREA,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,2595858,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,WOODLA_FARM,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,298212,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_6(1.0),A,IT,WOODTR_AREA,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,91785,,,,,,,,,,,,,,,,,,,,,
