DATAFLOW,FREQ,REF_AREA,DATA_TYPE,LEGAL_FORM,MANAGEMENT_FORM,LAND_OWNERSHIP,AGRI_AREA_CLASS,TYPE_OF_CROP,TYPE_OF_HERD,GAINFUL_ACTIVITIES,KIND_OF_RENEW_ENERGY,EDU_LEV_FARM_MAN,LABOUR_FORCE_CATEG,NAT_LAB_FORCE,QWN_USE_MECH_MEANS,TYPE_OF_MECH_MEANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_LEGAL_FORM,NOTE_MANAGEMENT_FORM,NOTE_LAND_OWNERSHIP,NOTE_AGRI_AREA_CLASS,NOTE_TYPE_OF_CROP,NOTE_TYPE_OF_HERD,NOTE_GAINFUL_ACTIVITIES,NOTE_KIND_OF_RENEW_ENERGY,NOTE_EDU_LEV_FARM_MAN,NOTE_LABOUR_FORCE_CATEG,NOTE_NAT_LAB_FORCE,NOTE_QWN_USE_MECH_MEANS,NOTE_TYPE_OF_MECH_MEANS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,DIRMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,12130662,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,DIRMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,12298323,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,MANWSP,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,2920994,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,MANWSP,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,3029486,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,ONLYFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,8696387,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,ONLYFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,8585230,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,OTHEFMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1626637,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,OTHEFMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,1197664,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,PREVEXTRA,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1178812,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,PREVEXTRA,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,1129636,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,PREVFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,2255465,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,PREVFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,2583457,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,16678296,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ART,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,16525472,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,DIRMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,9976722,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,DIRMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,9990376,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,MANWSP,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1838512,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,MANWSP,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,2118453,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,ONLYFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,7143018,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,ONLYFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,6939373,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,OTHEFMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,610762,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,OTHEFMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,489334,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,PREVEXTRA,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,953918,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,PREVEXTRA,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,896081,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,PREVFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1879786,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,PREVFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,2154922,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,12425996,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,ARU,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,12598161,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,DIRMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1366360,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,DIRMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,1047976,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,MANWSP,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,94841,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,MANWSP,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,81679,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,ONLYFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1163250,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,ONLYFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,851756,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,OTHEFMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,9984,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,OTHEFMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,16059,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,PREVEXTRA,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,64027,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,PREVEXTRA,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,48887,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,PREVFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,139083,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,PREVFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,147333,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1471185,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,IT,HO,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,1145705,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,DIRMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1043762,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,DIRMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,1065601,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,MANWSP,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,90453,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,MANWSP,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,176298,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,ONLYFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,803489,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,ONLYFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,759520,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,OTHEFMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,134828,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,OTHEFMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,29788,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,PREVEXTRA,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,35129,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,PREVEXTRA,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,87180,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,PREVFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,205144,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,PREVFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,218901,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1269044,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ART,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,1271687,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ARU,TOT,DIRMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,856130,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ARU,TOT,DIRMAN,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,860503,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ARU,TOT,MANWSP,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,52059,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ARU,TOT,MANWSP,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,74364,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_3(1.0),A,ITC1,ARU,TOT,ONLYFAM,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,648897,,,,,,,,,,,,,,,,,,,,,
