DATAFLOW,FREQ,REF_AREA,DATA_TYPE,LEGAL_FORM,MANAGEMENT_FORM,LAND_OWNERSHIP,AGRI_AREA_CLASS,TYPE_OF_CROP,TYPE_OF_HERD,GAINFUL_ACTIVITIES,KIND_OF_RENEW_ENERGY,EDU_LEV_FARM_MAN,LABOUR_FORCE_CATEG,NAT_LAB_FORCE,QWN_USE_MECH_MEANS,TYPE_OF_MECH_MEANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_LEGAL_FORM,NOTE_MANAGEMENT_FORM,NOTE_LAND_OWNERSHIP,NOTE_AGRI_AREA_CLASS,NOTE_TYPE_OF_CROP,NOTE_TYPE_OF_HERD,NOTE_GAINFUL_ACTIVITIES,NOTE_KIND_OF_RENEW_ENERGY,NOTE_EDU_LEV_FARM_MAN,NOTE_LABOUR_FORCE_CATEG,NOTE_NAT_LAB_FORCE,NOTE_QWN_USE_MECH_MEANS,NOTE_TYPE_OF_MECH_MEANS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,11,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1409189,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,11,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,1073702,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,1210,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,42502,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,1210,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,56931,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,13,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,6117,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,13,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,8597,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,14,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,3260,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,14,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,3064,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1471185,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,1145705,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,X1260,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,5230,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,X1260,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,,n,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,X1430_17,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1052,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,X1430_17,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,,n,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,X16_17_18_23,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,587,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,X16_17_18_23,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,1408,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_12(1.0),A,IT,HO,X216,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,1700,,,,,,,,,,,,,,,,,,,,,
