DATAFLOW,FREQ,REF_AREA,DATA_TYPE,LEGAL_FORM,MANAGEMENT_FORM,LAND_OWNERSHIP,AGRI_AREA_CLASS,TYPE_OF_CROP,TYPE_OF_HERD,GAINFUL_ACTIVITIES,KIND_OF_RENEW_ENERGY,EDU_LEV_FARM_MAN,LABOUR_FORCE_CATEG,NAT_LAB_FORCE,QWN_USE_MECH_MEANS,TYPE_OF_MECH_MEANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_LEGAL_FORM,NOTE_MANAGEMENT_FORM,NOTE_LAND_OWNERSHIP,NOTE_AGRI_AREA_CLASS,NOTE_TYPE_OF_CROP,NOTE_TYPE_OF_HERD,NOTE_GAINFUL_ACTIVITIES,NOTE_KIND_OF_RENEW_ENERGY,NOTE_EDU_LEV_FARM_MAN,NOTE_LABOUR_FORCE_CATEG,NOTE_NAT_LAB_FORCE,NOTE_QWN_USE_MECH_MEANS,NOTE_TYPE_OF_MECH_MEANS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,HOL,WORLD,ALL,ALL,2013,1455383,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,HOL,WORLD,ALL,ALL,2016,1129395,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,LNDEH,WORLD,ALL,ALL,2013,139197,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,LNDEH,WORLD,ALL,ALL,2016,104675,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,OFMWF,WORLD,ALL,ALL,2013,367015,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,OFMWF,WORLD,ALL,ALL,2016,297593,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,OLERB,WORLD,ALL,ALL,2013,713816,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,OLERB,WORLD,ALL,ALL,2016,989538,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,PENFLF,WORLD,ALL,ALL,2013,68962,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,PENFLF,WORLD,ALL,ALL,2016,71842,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,RH,WORLD,ALL,ALL,2013,176518,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,RH,WORLD,ALL,ALL,2016,108176,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,SPOWF,WORLD,ALL,ALL,2013,552015,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,SPOWF,WORLD,ALL,ALL,2016,278545,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,TENFLF,WORLD,ALL,ALL,2013,86171,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,TENFLF,WORLD,ALL,ALL,2016,159890,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,TFLF,WORLD,ALL,ALL,2013,2550931,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,TFLF,WORLD,ALL,ALL,2016,1813709,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,3559081,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,3139654,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,TNFLF,WORLD,ALL,ALL,2013,1008150,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,TNFLF,WORLD,ALL,ALL,2016,1325945,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,HOL,WORLD,ALL,ALL,2013,130547830,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,HOL,WORLD,ALL,ALL,2016,138461031,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,LNDEH,WORLD,ALL,ALL,2013,4359407,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,LNDEH,WORLD,ALL,ALL,2016,4072055,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,OFMWF,WORLD,ALL,ALL,2013,26499408,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,OFMWF,WORLD,ALL,ALL,2016,30373554,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,OLERB,WORLD,ALL,ALL,2013,29101815,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,OLERB,WORLD,ALL,ALL,2016,41608884,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,PENFLF,WORLD,ALL,ALL,2013,14042076,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,PENFLF,WORLD,ALL,ALL,2016,15369959,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,RH,WORLD,ALL,ALL,2013,10082888,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,RH,WORLD,ALL,ALL,2016,9944739,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,SPOWF,WORLD,ALL,ALL,2013,28602239,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,SPOWF,WORLD,ALL,ALL,2016,24646723,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,TENFLF,WORLD,ALL,ALL,2013,9552009,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,TENFLF,WORLD,ALL,ALL,2016,18501129,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,TFLF,WORLD,ALL,ALL,2013,195732365,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,TFLF,WORLD,ALL,ALL,2016,203426052,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2013,252787673,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,THLF,WORLD,ALL,ALL,2016,282978079,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,TNFLF,WORLD,ALL,ALL,2013,57055308,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,IT,WD,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,TNFLF,WORLD,ALL,ALL,2016,79552027,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,ITC1,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,HOL,WORLD,ALL,ALL,2013,58261,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,ITC1,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,HOL,WORLD,ALL,ALL,2016,49054,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,ITC1,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,LNDEH,WORLD,ALL,ALL,2013,7822,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,ITC1,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,LNDEH,WORLD,ALL,ALL,2016,5237,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,ITC1,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,OFMWF,WORLD,ALL,ALL,2013,15769,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,ITC1,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,OFMWF,WORLD,ALL,ALL,2016,12554,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,ITC1,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,OLERB,WORLD,ALL,ALL,2013,18068,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,ITC1,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,OLERB,WORLD,ALL,ALL,2016,18628,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,ITC1,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,PENFLF,WORLD,ALL,ALL,2013,4884,,,,,,,,,,,,,,,,,,,,,
IT1:102_974_DF_DCSP_SPA_14(1.0),A,ITC1,PE,TOT,TOT,ALL,TOT,ALL,ALL,ALL,ALL,99,PENFLF,WORLD,ALL,ALL,2016,4979,,,,,,,,,,,,,,,,,,,,,
